1.000E-02 = radius(micron) ionized PAH/graphitic solid             
w(micron)   Q_ext     Q_abs     Q_sca    g=<cos>
1.072E+01 7.436E-04 7.436E-04 2.359E-09 1.22E-05
1.059E+01 7.497E-04 7.497E-04 2.470E-09 1.27E-05
1.047E+01 7.584E-04 7.584E-04 2.587E-09 1.32E-05
1.035E+01 7.683E-04 7.683E-04 2.708E-09 1.37E-05
1.023E+01 7.789E-04 7.789E-04 2.836E-09 1.42E-05
1.012E+01 7.904E-04 7.904E-04 2.970E-09 1.48E-05
1.000E+01 8.028E-04 8.028E-04 3.110E-09 1.53E-05
9.886E+00 8.164E-04 8.164E-04 3.257E-09 1.58E-05
9.772E+00 8.311E-04 8.311E-04 3.411E-09 1.64E-05
9.661E+00 8.471E-04 8.471E-04 3.572E-09 1.69E-05
9.550E+00 8.647E-04 8.647E-04 3.740E-09 1.75E-05
9.441E+00 8.844E-04 8.844E-04 3.916E-09 1.80E-05
9.333E+00 9.067E-04 9.067E-04 4.101E-09 1.86E-05
9.226E+00 9.325E-04 9.325E-04 4.294E-09 1.92E-05
9.120E+00 9.636E-04 9.636E-04 4.497E-09 1.98E-05
9.016E+00 1.003E-03 1.003E-03 4.708E-09 2.04E-05
8.913E+00 1.056E-03 1.056E-03 4.930E-09 2.10E-05
8.810E+00 1.134E-03 1.134E-03 5.162E-09 2.17E-05
8.710E+00 1.244E-03 1.244E-03 5.405E-09 2.23E-05
8.610E+00 1.343E-03 1.343E-03 5.659E-09 2.30E-05
8.511E+00 1.347E-03 1.347E-03 5.925E-09 2.37E-05
8.414E+00 1.323E-03 1.323E-03 6.203E-09 2.44E-05
8.318E+00 1.340E-03 1.340E-03 6.494E-09 2.51E-05
8.222E+00 1.399E-03 1.399E-03 6.799E-09 2.59E-05
8.128E+00 1.496E-03 1.496E-03 7.118E-09 2.67E-05
8.035E+00 1.633E-03 1.633E-03 7.452E-09 2.75E-05
7.943E+00 1.806E-03 1.806E-03 7.802E-09 2.84E-05
7.852E+00 1.997E-03 1.997E-03 8.167E-09 2.93E-05
7.762E+00 2.150E-03 2.150E-03 8.550E-09 3.02E-05
7.674E+00 2.194E-03 2.194E-03 8.951E-09 3.11E-05
7.586E+00 2.110E-03 2.110E-03 9.371E-09 3.20E-05
7.499E+00 1.958E-03 1.958E-03 9.810E-09 3.28E-05
7.413E+00 1.805E-03 1.805E-03 1.027E-08 3.37E-05
7.328E+00 1.682E-03 1.682E-03 1.075E-08 3.46E-05
7.244E+00 1.593E-03 1.593E-03 1.126E-08 3.55E-05
7.161E+00 1.534E-03 1.534E-03 1.178E-08 3.65E-05
7.079E+00 1.497E-03 1.497E-03 1.234E-08 3.74E-05
6.998E+00 1.477E-03 1.477E-03 1.291E-08 3.84E-05
6.918E+00 1.469E-03 1.469E-03 1.352E-08 3.94E-05
6.839E+00 1.472E-03 1.472E-03 1.415E-08 4.04E-05
6.761E+00 1.485E-03 1.485E-03 1.481E-08 4.14E-05
6.683E+00 1.506E-03 1.506E-03 1.551E-08 4.25E-05
6.607E+00 1.539E-03 1.539E-03 1.623E-08 4.36E-05
6.531E+00 1.589E-03 1.589E-03 1.699E-08 4.47E-05
6.457E+00 1.664E-03 1.664E-03 1.779E-08 4.58E-05
6.383E+00 1.785E-03 1.785E-03 1.862E-08 4.71E-05
6.310E+00 1.959E-03 1.959E-03 1.949E-08 4.94E-05
6.237E+00 2.206E-03 2.206E-03 2.041E-08 4.87E-05
6.166E+00 2.234E-03 2.234E-03 2.136E-08 5.01E-05
6.095E+00 2.057E-03 2.057E-03 2.236E-08 5.14E-05
6.026E+00 1.904E-03 1.904E-03 2.340E-08 5.26E-05
5.957E+00 1.823E-03 1.822E-03 2.449E-08 5.39E-05
5.888E+00 1.787E-03 1.787E-03 2.564E-08 5.51E-05
5.821E+00 1.778E-03 1.778E-03 2.684E-08 5.64E-05
5.754E+00 1.783E-03 1.783E-03 2.809E-08 5.78E-05
5.689E+00 1.796E-03 1.796E-03 2.940E-08 5.91E-05
5.623E+00 1.816E-03 1.816E-03 3.077E-08 6.05E-05
5.559E+00 1.839E-03 1.839E-03 3.221E-08 6.19E-05
5.495E+00 1.865E-03 1.865E-03 3.371E-08 6.34E-05
5.433E+00 1.893E-03 1.893E-03 3.528E-08 6.48E-05
5.370E+00 1.923E-03 1.923E-03 3.693E-08 6.63E-05
5.309E+00 1.954E-03 1.954E-03 3.865E-08 6.79E-05
5.248E+00 1.987E-03 1.987E-03 4.045E-08 6.94E-05
5.188E+00 2.021E-03 2.021E-03 4.233E-08 7.11E-05
5.129E+00 2.055E-03 2.055E-03 4.430E-08 7.28E-05
5.070E+00 2.091E-03 2.090E-03 4.636E-08 7.45E-05
5.012E+00 2.127E-03 2.127E-03 4.852E-08 7.62E-05
4.955E+00 2.163E-03 2.163E-03 5.078E-08 7.80E-05
4.898E+00 2.200E-03 2.200E-03 5.314E-08 7.98E-05
4.842E+00 2.238E-03 2.238E-03 5.562E-08 8.16E-05
4.786E+00 2.277E-03 2.277E-03 5.821E-08 8.35E-05
4.732E+00 2.317E-03 2.317E-03 6.092E-08 8.54E-05
4.677E+00 2.358E-03 2.358E-03 6.376E-08 8.73E-05
4.624E+00 2.399E-03 2.399E-03 6.672E-08 8.93E-05
4.571E+00 2.442E-03 2.442E-03 6.983E-08 9.13E-05
4.519E+00 2.485E-03 2.485E-03 7.308E-08 9.34E-05
4.467E+00 2.530E-03 2.530E-03 7.647E-08 9.55E-05
4.416E+00 2.575E-03 2.575E-03 8.003E-08 9.76E-05
4.365E+00 2.621E-03 2.621E-03 8.375E-08 9.98E-05
4.315E+00 2.668E-03 2.668E-03 8.764E-08 1.02E-04
4.266E+00 2.716E-03 2.716E-03 9.171E-08 1.04E-04
4.217E+00 2.765E-03 2.764E-03 9.597E-08 1.07E-04
4.169E+00 2.814E-03 2.814E-03 1.004E-07 1.09E-04
4.121E+00 2.865E-03 2.865E-03 1.051E-07 1.11E-04
4.074E+00 2.917E-03 2.917E-03 1.100E-07 1.14E-04
4.027E+00 2.969E-03 2.969E-03 1.151E-07 1.16E-04
3.981E+00 3.023E-03 3.023E-03 1.204E-07 1.19E-04
3.936E+00 3.077E-03 3.077E-03 1.260E-07 1.21E-04
3.890E+00 3.133E-03 3.132E-03 1.319E-07 1.24E-04
3.846E+00 3.189E-03 3.189E-03 1.380E-07 1.27E-04
3.802E+00 3.246E-03 3.246E-03 1.444E-07 1.29E-04
3.758E+00 3.305E-03 3.305E-03 1.511E-07 1.32E-04
3.715E+00 3.364E-03 3.364E-03 1.581E-07 1.35E-04
3.673E+00 3.425E-03 3.425E-03 1.655E-07 1.38E-04
3.631E+00 3.487E-03 3.487E-03 1.732E-07 1.40E-04
3.589E+00 3.550E-03 3.550E-03 1.812E-07 1.43E-04
3.548E+00 3.615E-03 3.615E-03 1.896E-07 1.46E-04
3.508E+00 3.681E-03 3.681E-03 1.984E-07 1.49E-04
3.467E+00 3.748E-03 3.748E-03 2.076E-07 1.52E-04
3.428E+00 3.817E-03 3.817E-03 2.172E-07 1.56E-04
3.388E+00 3.888E-03 3.888E-03 2.273E-07 1.59E-04
3.350E+00 3.963E-03 3.963E-03 2.378E-07 1.62E-04
3.311E+00 4.057E-03 4.057E-03 2.489E-07 1.65E-04
3.273E+00 4.116E-03 4.116E-03 2.604E-07 1.69E-04
3.236E+00 4.181E-03 4.180E-03 2.725E-07 1.72E-04
3.199E+00 4.255E-03 4.254E-03 2.851E-07 1.76E-04
3.162E+00 4.324E-03 4.324E-03 2.983E-07 1.80E-04
3.126E+00 4.409E-03 4.409E-03 3.121E-07 1.83E-04
3.090E+00 4.489E-03 4.489E-03 3.266E-07 1.87E-04
3.055E+00 4.570E-03 4.570E-03 3.417E-07 1.91E-04
3.020E+00 4.652E-03 4.652E-03 3.575E-07 1.95E-04
2.985E+00 4.738E-03 4.738E-03 3.741E-07 1.99E-04
2.951E+00 4.823E-03 4.823E-03 3.914E-07 2.03E-04
2.917E+00 4.911E-03 4.911E-03 4.095E-07 2.07E-04
2.884E+00 5.000E-03 5.000E-03 4.285E-07 2.11E-04
2.851E+00 5.091E-03 5.091E-03 4.483E-07 2.15E-04
2.818E+00 5.184E-03 5.184E-03 4.691E-07 2.20E-04
2.786E+00 5.278E-03 5.277E-03 4.907E-07 2.24E-04
2.754E+00 5.373E-03 5.373E-03 5.134E-07 2.29E-04
2.723E+00 5.472E-03 5.471E-03 5.371E-07 2.34E-04
2.692E+00 5.570E-03 5.570E-03 5.619E-07 2.38E-04
2.661E+00 5.670E-03 5.670E-03 5.880E-07 2.43E-04
2.630E+00 5.773E-03 5.773E-03 6.151E-07 2.48E-04
2.600E+00 5.876E-03 5.875E-03 6.435E-07 2.53E-04
2.570E+00 5.980E-03 5.979E-03 6.732E-07 2.59E-04
2.541E+00 6.085E-03 6.085E-03 7.043E-07 2.64E-04
2.512E+00 6.193E-03 6.192E-03 7.368E-07 2.70E-04
2.483E+00 6.303E-03 6.302E-03 7.708E-07 2.75E-04
2.455E+00 6.415E-03 6.414E-03 8.064E-07 2.81E-04
2.427E+00 6.528E-03 6.528E-03 8.436E-07 2.87E-04
2.399E+00 6.644E-03 6.644E-03 8.825E-07 2.93E-04
2.371E+00 6.763E-03 6.762E-03 9.233E-07 2.99E-04
2.344E+00 6.883E-03 6.882E-03 9.659E-07 3.05E-04
2.317E+00 7.006E-03 7.005E-03 1.011E-06 3.11E-04
2.291E+00 7.131E-03 7.130E-03 1.057E-06 3.17E-04
2.265E+00 7.258E-03 7.257E-03 1.106E-06 3.23E-04
2.239E+00 7.388E-03 7.387E-03 1.157E-06 3.30E-04
2.213E+00 7.521E-03 7.519E-03 1.211E-06 3.36E-04
2.188E+00 7.656E-03 7.654E-03 1.267E-06 3.43E-04
2.163E+00 7.793E-03 7.792E-03 1.325E-06 3.50E-04
2.138E+00 7.933E-03 7.932E-03 1.386E-06 3.57E-04
2.113E+00 8.075E-03 8.074E-03 1.450E-06 3.64E-04
2.089E+00 8.218E-03 8.216E-03 1.517E-06 3.71E-04
2.065E+00 8.363E-03 8.362E-03 1.587E-06 3.79E-04
2.042E+00 8.512E-03 8.510E-03 1.660E-06 3.87E-04
2.018E+00 8.663E-03 8.661E-03 1.737E-06 3.94E-04
1.995E+00 8.817E-03 8.815E-03 1.817E-06 4.02E-04
1.972E+00 8.974E-03 8.972E-03 1.901E-06 4.10E-04
1.950E+00 9.134E-03 9.132E-03 1.989E-06 4.19E-04
1.928E+00 9.297E-03 9.295E-03 2.080E-06 4.27E-04
1.905E+00 9.463E-03 9.461E-03 2.176E-06 4.35E-04
1.884E+00 9.632E-03 9.630E-03 2.277E-06 4.44E-04
1.862E+00 9.805E-03 9.803E-03 2.382E-06 4.53E-04
1.841E+00 9.982E-03 9.979E-03 2.492E-06 4.61E-04
1.820E+00 1.016E-02 1.016E-02 2.607E-06 4.71E-04
1.799E+00 1.034E-02 1.034E-02 2.727E-06 4.80E-04
1.778E+00 1.053E-02 1.053E-02 2.853E-06 4.89E-04
1.758E+00 1.072E-02 1.072E-02 2.985E-06 4.99E-04
1.738E+00 1.092E-02 1.091E-02 3.122E-06 5.08E-04
1.718E+00 1.111E-02 1.111E-02 3.266E-06 5.18E-04
1.698E+00 1.131E-02 1.131E-02 3.417E-06 5.29E-04
1.679E+00 1.152E-02 1.151E-02 3.574E-06 5.39E-04
1.660E+00 1.172E-02 1.172E-02 3.739E-06 5.50E-04
1.641E+00 1.193E-02 1.193E-02 3.911E-06 5.61E-04
1.622E+00 1.214E-02 1.214E-02 4.091E-06 5.72E-04
1.603E+00 1.236E-02 1.235E-02 4.279E-06 5.83E-04
1.585E+00 1.258E-02 1.257E-02 4.476E-06 5.95E-04
1.567E+00 1.280E-02 1.279E-02 4.682E-06 6.07E-04
1.549E+00 1.302E-02 1.302E-02 4.898E-06 6.19E-04
1.531E+00 1.325E-02 1.325E-02 5.124E-06 6.31E-04
1.514E+00 1.349E-02 1.348E-02 5.361E-06 6.44E-04
1.496E+00 1.373E-02 1.373E-02 5.609E-06 6.56E-04
1.479E+00 1.398E-02 1.397E-02 5.868E-06 6.69E-04
1.462E+00 1.423E-02 1.422E-02 6.140E-06 6.82E-04
1.445E+00 1.449E-02 1.448E-02 6.424E-06 6.95E-04
1.429E+00 1.475E-02 1.475E-02 6.720E-06 7.08E-04
1.413E+00 1.502E-02 1.502E-02 7.031E-06 7.22E-04
1.396E+00 1.530E-02 1.529E-02 7.355E-06 7.35E-04
1.380E+00 1.559E-02 1.558E-02 7.694E-06 7.49E-04
1.365E+00 1.587E-02 1.587E-02 8.049E-06 7.63E-04
1.349E+00 1.617E-02 1.616E-02 8.421E-06 7.78E-04
1.334E+00 1.647E-02 1.646E-02 8.809E-06 7.93E-04
1.318E+00 1.677E-02 1.676E-02 9.215E-06 8.08E-04
1.303E+00 1.708E-02 1.707E-02 9.640E-06 8.24E-04
1.288E+00 1.739E-02 1.738E-02 1.008E-05 8.40E-04
1.274E+00 1.772E-02 1.770E-02 1.055E-05 8.56E-04
1.259E+00 1.804E-02 1.803E-02 1.103E-05 8.73E-04
1.245E+00 1.837E-02 1.836E-02 1.154E-05 8.90E-04
1.230E+00 1.871E-02 1.870E-02 1.207E-05 9.07E-04
1.216E+00 1.905E-02 1.904E-02 1.263E-05 9.24E-04
1.202E+00 1.941E-02 1.939E-02 1.321E-05 9.42E-04
1.189E+00 1.977E-02 1.975E-02 1.382E-05 9.60E-04
1.175E+00 2.013E-02 2.012E-02 1.446E-05 9.79E-04
1.161E+00 2.051E-02 2.049E-02 1.513E-05 9.98E-04
1.148E+00 2.089E-02 2.088E-02 1.583E-05 1.02E-03
1.135E+00 2.128E-02 2.127E-02 1.656E-05 1.04E-03
1.122E+00 2.169E-02 2.167E-02 1.732E-05 1.06E-03
1.109E+00 2.210E-02 2.208E-02 1.812E-05 1.08E-03
1.096E+00 2.252E-02 2.250E-02 1.895E-05 1.10E-03
1.084E+00 2.295E-02 2.293E-02 1.983E-05 1.12E-03
1.072E+00 2.339E-02 2.337E-02 2.074E-05 1.14E-03
1.059E+00 2.385E-02 2.383E-02 2.169E-05 1.16E-03
1.047E+00 2.431E-02 2.429E-02 2.269E-05 1.18E-03
1.035E+00 2.480E-02 2.477E-02 2.374E-05 1.20E-03
1.023E+00 2.529E-02 2.526E-02 2.483E-05 1.23E-03
1.012E+00 2.580E-02 2.577E-02 2.597E-05 1.25E-03
1.000E+00 2.631E-02 2.629E-02 2.717E-05 1.27E-03
9.886E-01 2.684E-02 2.681E-02 2.841E-05 1.30E-03
9.772E-01 2.738E-02 2.735E-02 2.972E-05 1.32E-03
9.661E-01 2.793E-02 2.789E-02 3.108E-05 1.35E-03
9.550E-01 2.848E-02 2.845E-02 3.251E-05 1.38E-03
9.441E-01 2.905E-02 2.902E-02 3.400E-05 1.40E-03
9.333E-01 2.963E-02 2.960E-02 3.556E-05 1.43E-03
9.226E-01 3.023E-02 3.019E-02 3.720E-05 1.46E-03
9.120E-01 3.083E-02 3.079E-02 3.890E-05 1.49E-03
9.016E-01 3.145E-02 3.141E-02 4.068E-05 1.52E-03
8.913E-01 3.207E-02 3.203E-02 4.255E-05 1.55E-03
8.810E-01 3.271E-02 3.267E-02 4.449E-05 1.58E-03
8.710E-01 3.337E-02 3.332E-02 4.653E-05 1.61E-03
8.610E-01 3.403E-02 3.398E-02 4.865E-05 1.64E-03
8.511E-01 3.471E-02 3.466E-02 5.088E-05 1.67E-03
8.414E-01 3.541E-02 3.535E-02 5.320E-05 1.71E-03
8.318E-01 3.612E-02 3.606E-02 5.563E-05 1.74E-03
8.222E-01 3.684E-02 3.678E-02 5.817E-05 1.78E-03
8.128E-01 3.758E-02 3.752E-02 6.083E-05 1.81E-03
8.035E-01 3.834E-02 3.827E-02 6.361E-05 1.85E-03
7.943E-01 3.911E-02 3.904E-02 6.651E-05 1.89E-03
7.852E-01 3.989E-02 3.982E-02 6.955E-05 1.93E-03
7.762E-01 4.069E-02 4.062E-02 7.272E-05 1.97E-03
7.674E-01 4.151E-02 4.144E-02 7.604E-05 2.01E-03
7.586E-01 4.235E-02 4.227E-02 7.951E-05 2.05E-03
7.499E-01 4.320E-02 4.312E-02 8.314E-05 2.09E-03
7.413E-01 4.408E-02 4.399E-02 8.694E-05 2.14E-03
7.328E-01 4.496E-02 4.487E-02 9.090E-05 2.18E-03
7.244E-01 4.587E-02 4.578E-02 9.506E-05 2.23E-03
7.161E-01 4.680E-02 4.670E-02 9.940E-05 2.28E-03
7.079E-01 4.774E-02 4.764E-02 1.039E-04 2.33E-03
6.998E-01 4.870E-02 4.859E-02 1.087E-04 2.38E-03
6.918E-01 4.968E-02 4.957E-02 1.137E-04 2.43E-03
6.839E-01 5.069E-02 5.057E-02 1.188E-04 2.48E-03
6.761E-01 5.171E-02 5.159E-02 1.243E-04 2.53E-03
6.683E-01 5.277E-02 5.264E-02 1.300E-04 2.59E-03
6.607E-01 5.384E-02 5.371E-02 1.359E-04 2.65E-03
6.531E-01 5.493E-02 5.479E-02 1.422E-04 2.70E-03
6.457E-01 5.603E-02 5.588E-02 1.487E-04 2.77E-03
6.383E-01 5.716E-02 5.700E-02 1.556E-04 2.83E-03
6.310E-01 5.832E-02 5.816E-02 1.627E-04 2.89E-03
6.237E-01 5.951E-02 5.934E-02 1.702E-04 2.95E-03
6.166E-01 6.073E-02 6.056E-02 1.781E-04 3.02E-03
6.095E-01 6.199E-02 6.181E-02 1.863E-04 3.09E-03
6.026E-01 6.328E-02 6.309E-02 1.950E-04 3.15E-03
5.957E-01 6.461E-02 6.441E-02 2.040E-04 3.22E-03
5.888E-01 6.598E-02 6.576E-02 2.135E-04 3.30E-03
5.821E-01 6.738E-02 6.716E-02 2.234E-04 3.37E-03
5.754E-01 6.882E-02 6.859E-02 2.338E-04 3.44E-03
5.689E-01 7.030E-02 7.006E-02 2.448E-04 3.52E-03
5.623E-01 7.183E-02 7.157E-02 2.562E-04 3.60E-03
5.559E-01 7.339E-02 7.312E-02 2.682E-04 3.67E-03
5.495E-01 7.500E-02 7.472E-02 2.809E-04 3.75E-03
5.433E-01 7.664E-02 7.635E-02 2.941E-04 3.84E-03
5.370E-01 7.834E-02 7.803E-02 3.081E-04 3.92E-03
5.309E-01 8.008E-02 7.976E-02 3.227E-04 4.01E-03
5.248E-01 8.188E-02 8.154E-02 3.380E-04 4.09E-03
5.188E-01 8.373E-02 8.337E-02 3.541E-04 4.18E-03
5.129E-01 8.563E-02 8.526E-02 3.711E-04 4.27E-03
5.070E-01 8.759E-02 8.720E-02 3.888E-04 4.36E-03
5.012E-01 8.961E-02 8.920E-02 4.075E-04 4.46E-03
4.955E-01 9.169E-02 9.126E-02 4.272E-04 4.55E-03
4.898E-01 9.383E-02 9.338E-02 4.478E-04 4.65E-03
4.842E-01 9.605E-02 9.558E-02 4.695E-04 4.75E-03
4.786E-01 9.838E-02 9.789E-02 4.921E-04 4.85E-03
4.732E-01 1.008E-01 1.003E-01 5.159E-04 4.95E-03
4.677E-01 1.033E-01 1.027E-01 5.409E-04 5.05E-03
4.624E-01 1.059E-01 1.053E-01 5.672E-04 5.15E-03
4.571E-01 1.085E-01 1.079E-01 5.948E-04 5.25E-03
4.519E-01 1.113E-01 1.107E-01 6.239E-04 5.35E-03
4.467E-01 1.142E-01 1.135E-01 6.544E-04 5.46E-03
4.416E-01 1.171E-01 1.165E-01 6.866E-04 5.56E-03
4.365E-01 1.202E-01 1.195E-01 7.203E-04 5.67E-03
4.315E-01 1.234E-01 1.227E-01 7.556E-04 5.77E-03
4.266E-01 1.267E-01 1.259E-01 7.925E-04 5.87E-03
4.217E-01 1.301E-01 1.293E-01 8.314E-04 5.97E-03
4.169E-01 1.335E-01 1.327E-01 8.721E-04 6.07E-03
4.121E-01 1.370E-01 1.361E-01 9.150E-04 6.17E-03
4.074E-01 1.406E-01 1.396E-01 9.599E-04 6.28E-03
4.027E-01 1.442E-01 1.431E-01 1.007E-03 6.38E-03
3.981E-01 1.478E-01 1.467E-01 1.057E-03 6.49E-03
3.935E-01 1.515E-01 1.504E-01 1.109E-03 6.59E-03
3.890E-01 1.552E-01 1.541E-01 1.164E-03 6.70E-03
3.846E-01 1.590E-01 1.578E-01 1.221E-03 6.81E-03
3.802E-01 1.629E-01 1.616E-01 1.282E-03 6.91E-03
3.758E-01 1.669E-01 1.655E-01 1.345E-03 7.02E-03
3.715E-01 1.709E-01 1.695E-01 1.413E-03 7.12E-03
3.673E-01 1.751E-01 1.736E-01 1.485E-03 7.23E-03
3.631E-01 1.792E-01 1.776E-01 1.560E-03 7.34E-03
3.589E-01 1.833E-01 1.817E-01 1.641E-03 7.45E-03
3.548E-01 1.876E-01 1.859E-01 1.727E-03 7.56E-03
3.508E-01 1.921E-01 1.903E-01 1.818E-03 7.66E-03
3.467E-01 1.968E-01 1.949E-01 1.915E-03 7.76E-03
3.428E-01 2.017E-01 1.997E-01 2.018E-03 7.84E-03
3.388E-01 2.069E-01 2.048E-01 2.128E-03 7.92E-03
3.350E-01 2.124E-01 2.101E-01 2.246E-03 7.98E-03
3.311E-01 2.181E-01 2.157E-01 2.372E-03 8.02E-03
3.273E-01 2.241E-01 2.216E-01 2.507E-03 8.04E-03
3.236E-01 2.305E-01 2.278E-01 2.653E-03 8.04E-03
3.199E-01 2.371E-01 2.343E-01 2.808E-03 8.00E-03
3.162E-01 2.441E-01 2.411E-01 2.974E-03 7.93E-03
3.126E-01 2.514E-01 2.483E-01 3.152E-03 7.83E-03
3.090E-01 2.590E-01 2.557E-01 3.341E-03 7.70E-03
3.055E-01 2.670E-01 2.635E-01 3.543E-03 7.53E-03
3.020E-01 2.752E-01 2.714E-01 3.760E-03 7.33E-03
2.985E-01 2.833E-01 2.793E-01 3.993E-03 7.08E-03
2.951E-01 2.918E-01 2.876E-01 4.244E-03 6.78E-03
2.917E-01 3.008E-01 2.962E-01 4.515E-03 6.44E-03
2.884E-01 3.100E-01 3.051E-01 4.812E-03 6.04E-03
2.851E-01 3.196E-01 3.144E-01 5.136E-03 5.57E-03
2.818E-01 3.304E-01 3.249E-01 5.512E-03 4.95E-03
2.786E-01 3.418E-01 3.359E-01 5.915E-03 4.32E-03
2.754E-01 3.539E-01 3.476E-01 6.349E-03 3.71E-03
2.723E-01 3.675E-01 3.606E-01 6.826E-03 3.11E-03
2.692E-01 3.825E-01 3.751E-01 7.353E-03 2.55E-03
2.661E-01 3.989E-01 3.909E-01 7.938E-03 2.05E-03
2.630E-01 4.171E-01 4.085E-01 8.596E-03 1.61E-03
2.600E-01 4.378E-01 4.285E-01 9.346E-03 1.23E-03
2.570E-01 4.609E-01 4.507E-01 1.019E-02 9.54E-04
2.541E-01 4.861E-01 4.750E-01 1.112E-02 7.79E-04
2.512E-01 5.150E-01 5.029E-01 1.218E-02 6.95E-04
2.483E-01 5.482E-01 5.349E-01 1.338E-02 6.92E-04
2.455E-01 5.866E-01 5.718E-01 1.476E-02 7.65E-04
2.427E-01 6.317E-01 6.154E-01 1.634E-02 9.25E-04
2.399E-01 6.854E-01 6.673E-01 1.816E-02 1.17E-03
2.371E-01 7.473E-01 7.271E-01 2.013E-02 1.52E-03
2.344E-01 8.156E-01 7.934E-01 2.220E-02 1.94E-03
2.317E-01 8.878E-01 8.634E-01 2.432E-02 2.38E-03
2.291E-01 9.615E-01 9.351E-01 2.644E-02 2.84E-03
2.265E-01 1.036E+00 1.007E+00 2.853E-02 3.31E-03
2.239E-01 1.112E+00 1.081E+00 3.064E-02 3.82E-03
2.213E-01 1.187E+00 1.155E+00 3.269E-02 4.35E-03
2.188E-01 1.250E+00 1.215E+00 3.406E-02 4.96E-03
2.163E-01 1.286E+00 1.251E+00 3.429E-02 5.65E-03
2.138E-01 1.292E+00 1.259E+00 3.351E-02 6.39E-03
2.113E-01 1.275E+00 1.242E+00 3.219E-02 7.12E-03
2.089E-01 1.239E+00 1.208E+00 3.046E-02 7.88E-03
2.065E-01 1.190E+00 1.161E+00 2.844E-02 8.66E-03
2.042E-01 1.130E+00 1.104E+00 2.622E-02 9.47E-03
2.018E-01 1.064E+00 1.040E+00 2.392E-02 1.03E-02
1.995E-01 9.961E-01 9.744E-01 2.165E-02 1.11E-02
1.972E-01 9.281E-01 9.086E-01 1.949E-02 1.20E-02
1.950E-01 8.629E-01 8.454E-01 1.749E-02 1.29E-02
1.928E-01 8.016E-01 7.859E-01 1.568E-02 1.38E-02
1.905E-01 7.451E-01 7.310E-01 1.407E-02 1.47E-02
1.884E-01 6.931E-01 6.805E-01 1.262E-02 1.56E-02
1.862E-01 6.464E-01 6.351E-01 1.137E-02 1.66E-02
1.841E-01 6.046E-01 5.943E-01 1.031E-02 1.76E-02
1.820E-01 5.671E-01 5.577E-01 9.418E-03 1.87E-02
1.799E-01 5.334E-01 5.248E-01 8.662E-03 1.98E-02
1.778E-01 5.035E-01 4.955E-01 8.048E-03 2.09E-02
1.758E-01 4.766E-01 4.690E-01 7.544E-03 2.20E-02
1.738E-01 4.523E-01 4.451E-01 7.139E-03 2.32E-02
1.718E-01 4.304E-01 4.236E-01 6.825E-03 2.43E-02
1.698E-01 4.107E-01 4.041E-01 6.598E-03 2.55E-02
1.679E-01 3.922E-01 3.857E-01 6.461E-03 2.67E-02
1.660E-01 3.755E-01 3.691E-01 6.411E-03 2.79E-02
1.641E-01 3.606E-01 3.541E-01 6.458E-03 2.91E-02
1.622E-01 3.471E-01 3.405E-01 6.597E-03 3.03E-02
1.603E-01 3.351E-01 3.283E-01 6.829E-03 3.15E-02
1.585E-01 3.247E-01 3.175E-01 7.161E-03 3.27E-02
1.567E-01 3.153E-01 3.077E-01 7.582E-03 3.39E-02
1.549E-01 3.069E-01 2.988E-01 8.096E-03 3.52E-02
1.531E-01 2.993E-01 2.906E-01 8.700E-03 3.65E-02
1.514E-01 2.926E-01 2.832E-01 9.409E-03 3.78E-02
1.496E-01 2.870E-01 2.768E-01 1.023E-02 3.92E-02
1.479E-01 2.826E-01 2.715E-01 1.118E-02 4.06E-02
1.462E-01 2.796E-01 2.673E-01 1.226E-02 4.20E-02
1.445E-01 2.784E-01 2.649E-01 1.351E-02 4.33E-02
1.429E-01 2.790E-01 2.641E-01 1.492E-02 4.48E-02
1.413E-01 2.811E-01 2.646E-01 1.650E-02 4.62E-02
1.396E-01 2.847E-01 2.665E-01 1.823E-02 4.77E-02
1.380E-01 2.893E-01 2.692E-01 2.013E-02 4.92E-02
1.365E-01 2.951E-01 2.728E-01 2.225E-02 5.09E-02
1.349E-01 3.021E-01 2.775E-01 2.464E-02 5.26E-02
1.334E-01 3.107E-01 2.834E-01 2.733E-02 5.45E-02
1.318E-01 3.211E-01 2.908E-01 3.033E-02 5.65E-02
1.303E-01 3.336E-01 3.000E-01 3.369E-02 5.87E-02
1.288E-01 3.507E-01 3.133E-01 3.745E-02 6.10E-02
1.274E-01 3.690E-01 3.273E-01 4.166E-02 6.35E-02
1.259E-01 3.901E-01 3.438E-01 4.633E-02 6.61E-02
1.245E-01 4.143E-01 3.627E-01 5.154E-02 6.89E-02
1.230E-01 4.416E-01 3.843E-01 5.732E-02 7.17E-02
1.216E-01 4.724E-01 4.087E-01 6.368E-02 7.45E-02
1.202E-01 5.071E-01 4.364E-01 7.067E-02 7.71E-02
1.189E-01 5.452E-01 4.668E-01 7.840E-02 7.94E-02
1.175E-01 5.851E-01 4.983E-01 8.684E-02 8.15E-02
1.161E-01 6.282E-01 5.319E-01 9.623E-02 8.30E-02
1.148E-01 6.781E-01 5.709E-01 1.072E-01 8.37E-02
1.135E-01 7.404E-01 6.179E-01 1.225E-01 8.29E-02
1.122E-01 8.049E-01 6.663E-01 1.386E-01 7.91E-02
1.109E-01 8.723E-01 7.163E-01 1.560E-01 7.32E-02
